##用于轻量化提示，使用自定义按键上屏，键不得重码，需标明类型，用中文符号冒号分割，表情：😲	aa，将上屏 😲
一简：起	q
一简：为	w
一简：二	e
一简：让	r
一简：她	t
一简：一	y
一简：上	u
一简：成	i
一简：偶	o
一简：平	p
一简：安	a
一简：三	s
一简：都	d
一简：发	f
一简：给	g
一简：会	h
一简：见	j
一简：看	k
一简：来	l
一简：走	z
一简：想	x
一简：才	c
一简：着	v
一简：不	b
一简：那	n
一简：没	m
表情：😲	aa
表情：😦	aaa
表情：😧	aaaa
表情：😄	ha
表情：😄	haha
表情：🐸	qywa
表情：🐸	qkwa
表情：🐸	青蛙
化学式：H₂O	uv
化学式：H₂O	shui
化学式：H₂O	水
货币：￥	人民币
货币：💴	日元
货币：￥	日币
货币：💲	美元
货币：$	美刀
货币：HK$	港元
货币：HK$	港币
货币：MOP$	澳门元
货币：MOP$	澳门币
货币：MOP$	葡币
货币：S$	新加坡元
货币：S$	新加坡币
表情：💶	欧元
表情：💷	英镑
表情：😀	笑脸
表情：😃	露齿笑
表情：😄	哈
表情：😄	哈哈
表情：😄	开心
表情：😊	笑
表情：😄	高兴
表情：😄	憨憨
表情：😁	嘻嘻
表情：😁	嘿嘿
表情：😁	咧嘴笑
表情：😆	傻笑
表情：😆	眯眼笑
表情：😆	笑死
表情：😆	好耶
表情：😆	笑晕
表情：😓	汗
表情：😓	冷汗
表情：😓	冒汗
表情：😓	无语
表情：😓	尴尬
表情：😅	苦笑
表情：😂	大笑
表情：😂	笑哭
表情：😂	笑哭了
表情：😂	笑出眼泪
表情：🤣	打滚
表情：🤣	打滚儿
表情：🤣	笑得打滚
表情：🤣	笑得打滚儿
表情：🤣	笑得满地打滚
表情：🤣	笑得满地打滚儿
表情：🙃	呵呵
表情：🙃	倒脸
表情：🙃	颠倒
表情：🙃	颠倒的脸
表情：🫥	消失
表情：🫠	溶解
表情：🫠	融化
表情：😉	眨眼
表情：😉	媚眼
表情：😉	抛媚眼
表情：😊	微笑
表情：😳	脸红
表情：😇	光环
表情：😇	微笑天使
表情：🥰	喜笑颜开
表情：🥰	爱心环绕
表情：🥰	爱慕
表情：🥰	迷恋
表情：🥰	陷入爱河
表情：🥰	坠入爱河
表情：🥰	幸福
表情：♥️	喜欢
表情：😍	花痴
表情：🤩	崇拜
表情：🤩	好崇拜
表情：🤩	好崇拜哦
表情：🤩	星星眼
表情：🤩	眼冒星星
表情：😘	亲亲
表情：😘	飞吻
表情：😘	亲一个
表情：😘	亲一下
表情：😘	啵一个
表情：😘	啵儿一个
表情：🙎‍♀️	噘嘴
表情：😚	羞涩亲亲
表情：😙	微笑亲亲
表情：🥲	含泪的笑脸
表情：🥲	含泪笑脸
表情：🥲	欣慰
表情：😋	好吃
表情：😋	津津有味
表情：😋	美味
表情：😝	吐舌
表情：😝	吐舌头
表情：😝	略略略
表情：😜	单眼吐舌
表情：😜	调皮
表情：😜	捣蛋
表情：🤪	傻瓜
表情：🤪	傻瓜脸
表情：😝	眯眼
表情：😝	眯眼吐舌
表情：😝	开玩笑
表情：😝	嘲笑
表情：🤑	发财
表情：🤑	财迷
表情：🤑	拜金
表情：🤑	见钱眼开
表情：🤑	钱眼
表情：🤑	钱眼儿
表情：🫂	抱抱
表情：🫂	拥抱
表情：🙊	捂嘴
表情：🙊	捂嘴巴
表情：🙊	捂上嘴巴
表情：🙊	捂住嘴巴
表情：🙊	捂着嘴巴
表情：🤭	捂嘴笑
表情：🤭	捂着嘴笑
表情：🤭	好笑
表情：🫢	不敢相信
表情：🫢	unbelievable
表情：🫣	偷看
表情：🫣	偷偷看
表情：🫣	偷瞧
表情：🫣	偷偷瞧
表情：🫣	单眼偷看
表情：🫣	不敢看
表情：🫣	我不敢看
表情：🫣	画面太美我不敢看
表情：🫣	那画面太美我不敢看
表情：🤫	嘘
表情：🤫	安静
表情：🤫	安静的脸
表情：🤫	小声
表情：🤫	小点声
表情：🤫	小点儿声
表情：🤫	小声点
表情：🤫	小声点儿
表情：🤫	别说话
表情：🤔	深思的脸
表情：🤔	深思
表情：🤔	思考
表情：🤔	奇怪
表情：🤔	奇怪了
表情：🤔	想一想
表情：🤔	想想
表情：🤔	我想想
表情：🤔	我再想想
表情：🤔	容我三思
表情：🤔	呃
表情：🤔	疑问
表情：🤔	可能
表情：🤔	不理解
表情：🤔	不明白
表情：🤔	疑惑
表情：🫡	敬礼
表情：🫡	致敬
表情：🫡	尊敬
表情：🫡	尊重
表情：🫡	瑞思拜
表情：🫡	respect
表情：🤐	闭嘴
表情：㊙️	秘密
表情：🤐	保密
表情：🤐	守密
表情：🙊	不说
表情：🤐	不能说
表情：🤐	不要说
表情：🤐	拉上拉链
表情：🤐	封口
表情：🤐	禁言
表情：🤨	挑眉
表情：🤨	眉毛上挑
表情：🤨	眉毛上挑的脸
表情：😐	平静
表情：😑	面无表情
表情：😶	没嘴
